path,name,class,plant,disease,width,height,mode,mean_r,mean_g,mean_b,brightness,contrast,sharpness,file_size(KB)
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,113.75563049316406,114.50552368164062,109.41007995605469,113.70223999023438,59.261565099225884,38.40739440917969,16088
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,104.54695129394531,111.88406372070312,110.10009765625,109.5087890625,53.01985069318633,44.467803955078125,18650
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,130.4845428466797,129.58828735351562,129.24830627441406,129.8957061767578,48.882093011731946,47.778594970703125,18741
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG,0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,75.46006774902344,85.04281616210938,82.18020629882812,81.87344360351562,37.363442837562154,34.386444091796875,15200
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG,0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,116.05328369140625,132.6053009033203,90.65054321289062,122.87373352050781,21.97033638617453,10.98834228515625,9022
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG,0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,119.7138671875,138.0430145263672,112.8817138671875,129.6886749267578,53.98857999555161,33.01402282714844,15739
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG,0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,121.32426452636719,130.2569122314453,120.54791259765625,126.48063659667969,39.0279846394808,50.10577392578125,19509
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG,0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,129.35813903808594,138.18524169921875,121.72798156738281,133.7344970703125,45.169605347047245,41.44073486328125,17190
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG,0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,108.23316955566406,124.61709594726562,97.57461547851562,116.65507507324219,46.07693350086085,54.01243591308594,20849
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG,0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,126.768798828125,131.29673767089844,120.91783142089844,128.7772216796875,52.349446319672275,37.03656005859375,16502
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG,0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,109.51765441894531,108.118896484375,112.01385498046875,108.98844909667969,30.772953121179516,11.984573364257812,9048
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG,0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,100.68803405761719,115.65412902832031,124.900390625,112.21514892578125,33.5414774091623,15.874862670898438,10454
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG,0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,96.69602966308594,114.29273986816406,99.62086486816406,107.34860229492188,44.59877963461564,43.20133972167969,18020
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG,0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,107.10191345214844,110.3795166015625,115.58216857910156,110.00918579101562,21.50392238239979,7.9302825927734375,7691
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG,0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,104.93226623535156,113.36848449707031,105.31309509277344,109.95124816894531,53.58880990891013,58.13029479980469,22106
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.JPG,0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,105.3968505859375,114.03778076171875,101.66209411621094,110.07313537597656,32.89041680413595,33.302703857421875,15211
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG,0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,92.47184753417969,107.18490600585938,94.47549438476562,101.3330078125,33.81534166787574,20.824722290039062,11807
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\10072248-60e2-4190-b4df-14e8ab61008c___FREC_Scab 3445.JPG,10072248-60e2-4190-b4df-14e8ab61008c___FREC_Scab 3445.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,84.43452453613281,96.12533569335938,87.90243530273438,91.708740234375,23.34683062054288,13.668228149414062,9870
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\106aaa5f-c98d-482d-88ef-8e5170e9072d___FREC_Scab 3489.JPG,106aaa5f-c98d-482d-88ef-8e5170e9072d___FREC_Scab 3489.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,84.6378173828125,97.14723205566406,92.96917724609375,92.91365051269531,31.90744135250433,24.341552734375,13261
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\11c50257-617e-4a6a-a996-2b195af9ada4___FREC_Scab 3462.JPG,11c50257-617e-4a6a-a996-2b195af9ada4___FREC_Scab 3462.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,101.27554321289062,113.51710510253906,99.75413513183594,108.26737976074219,31.949862232287924,18.559646606445312,10943
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG,11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,117.70596313476562,126.39749145507812,120.89201354980469,123.19950866699219,30.389549613489507,13.961013793945312,10451
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\12bc3d5c-2409-426e-b6cb-a08cbf488153___FREC_Scab 3154.JPG,12bc3d5c-2409-426e-b6cb-a08cbf488153___FREC_Scab 3154.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,97.7825927734375,120.31919860839844,124.15106201171875,114.02386474609375,25.67175216429201,23.835693359375,12785
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\133c27cd-57f6-4790-b446-972327e13194___FREC_Scab 3362.JPG,133c27cd-57f6-4790-b446-972327e13194___FREC_Scab 3362.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,123.33625793457031,131.09112548828125,113.60963439941406,126.75404357910156,29.515000083454574,32.77742004394531,14713
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\13b10b04-7da6-4d34-8b43-258239a25ffd___FREC_Scab 2990.JPG,13b10b04-7da6-4d34-8b43-258239a25ffd___FREC_Scab 2990.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,124.66096496582031,136.38601684570312,121.75532531738281,131.1856689453125,40.393638589725434,32.17045593261719,15278
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG,13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,93.46551513671875,112.35658264160156,103.202880859375,105.67861938476562,30.678894969998996,17.26275634765625,11191
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\13f31401-f65a-4025-823a-4f2738e8bff9___FREC_Scab 3062.JPG,13f31401-f65a-4025-823a-4f2738e8bff9___FREC_Scab 3062.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,111.56971740722656,131.30467224121094,104.659912109375,122.38827514648438,42.19483333807826,34.191741943359375,15609
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,99.8878173828125,112.10548400878906,95.72117614746094,106.58668518066406,42.5961622383668,15.108551025390625,10191
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1547f817-6a4d-4cbc-8ce0-7dff293562ee___FREC_Scab 3194.JPG,1547f817-6a4d-4cbc-8ce0-7dff293562ee___FREC_Scab 3194.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,101.13298034667969,108.11848449707031,118.40606689453125,107.24104309082031,29.41256253497603,16.19390869140625,10186
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\154842bb-6ee3-4176-9007-cf7a43cfe140___FREC_Scab 3434.JPG,154842bb-6ee3-4176-9007-cf7a43cfe140___FREC_Scab 3434.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,88.04823303222656,83.4239501953125,72.30267333984375,83.52058410644531,26.73956501210798,11.504470825195312,9603
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG,15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,65.90957641601562,94.44300842285156,91.70585632324219,85.58604431152344,16.22934703748654,15.679153442382812,9880
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\162d8ca4-7cd3-46f1-904f-09721df3e498___FREC_Scab 3336.JPG,162d8ca4-7cd3-46f1-904f-09721df3e498___FREC_Scab 3336.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,109.45976257324219,125.04936218261719,117.04205322265625,119.55624389648438,39.25154153214239,30.262619018554688,14466
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1637ad84-640c-41e7-9be7-6d8e7769b875___FREC_Scab 3110.JPG,1637ad84-640c-41e7-9be7-6d8e7769b875___FREC_Scab 3110.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,68.44744873046875,92.22257995605469,94.31265258789062,85.35166931152344,32.179312444085,16.5079345703125,10592
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG,176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,101.51594543457031,117.2681884765625,89.84443664550781,109.43101501464844,38.003924542375586,44.91815185546875,18614
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\18ab74ed-8e95-4787-b2e1-1283594bd00b___FREC_Scab 3012.JPG,18ab74ed-8e95-4787-b2e1-1283594bd00b___FREC_Scab 3012.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,128.71641540527344,137.8411102294922,128.45156860351562,134.08819580078125,39.52020176412675,7.536285400390625,7220
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\18e95262-fb0a-472c-93ab-e03138a360dc___FREC_Scab 3366.JPG,18e95262-fb0a-472c-93ab-e03138a360dc___FREC_Scab 3366.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,91.76771545410156,99.23628234863281,92.35591125488281,96.24681091308594,19.624134149966387,17.00067138671875,10542
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\18ea82fd-4e16-416f-8ad9-54e0f6601693___FREC_Scab 3127.JPG,18ea82fd-4e16-416f-8ad9-54e0f6601693___FREC_Scab 3127.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,73.43409729003906,100.27751159667969,118.80717468261719,94.32861328125,21.760483237810384,20.243179321289062,11377
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1962d1ec-fb66-4583-b631-81cd23ecf063___FREC_Scab 3238.JPG,1962d1ec-fb66-4583-b631-81cd23ecf063___FREC_Scab 3238.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,92.94850158691406,100.81790161132812,86.01533508300781,96.79435729980469,41.51653825292535,15.522048950195312,10508
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG,1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,88.99212646484375,98.88957214355469,83.09950256347656,94.14642333984375,38.891332976185495,21.656906127929688,12743
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG,1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,92.48977661132812,109.3951416015625,105.03140258789062,103.83438110351562,25.029668788234204,35.65167236328125,15567
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG,1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,102.27357482910156,108.314697265625,115.96072387695312,107.41571044921875,23.87412771962971,19.386734008789062,11072
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1a41bab0-45e0-4dda-a798-9bf4a998f1b6___FREC_Scab 3450.JPG,1a41bab0-45e0-4dda-a798-9bf4a998f1b6___FREC_Scab 3450.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,96.12515258789062,98.37727355957031,87.57450866699219,96.43829345703125,29.547678150735123,33.56779479980469,15466
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG,1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,108.7861328125,126.87141418457031,108.26309204101562,119.35719299316406,40.82212867319331,29.98291015625,14111
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG,1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,119.30184936523438,123.70387268066406,119.54829406738281,121.94129943847656,60.538215507132534,49.91950988769531,19431
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061.JPG,1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,134.43685913085938,148.94569396972656,120.23638916015625,141.35401916503906,37.552929646634,42.53448486328125,18051
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1c10ab31-02b9-4008-b66f-9b44d8a9d323___FREC_Scab 3084.JPG,1c10ab31-02b9-4008-b66f-9b44d8a9d323___FREC_Scab 3084.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,102.55851745605469,118.35591125488281,86.94723510742188,110.04655456542969,47.36884148451937,51.05816650390625,20564
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG,1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,94.14320373535156,107.32212829589844,94.94075012207031,101.97518920898438,41.73168135144797,31.6217041015625,14854
d:\2026-2027\computer-vision\plantvillage_dataset/color/Apple___Apple_scab\1cdf2779-8cb1-4ae4-be70-b0eeb1abb0f8___FREC_Scab 3370.JPG,1cdf2779-8cb1-4ae4-be70-b0eeb1abb0f8___FREC_Scab 3370.JPG,Apple___Apple_scab,Apple,Apple_scab,256,256,RGB,95.58544921875,109.83203125,92.7266845703125,103.64768981933594,41.0141090698724,23.355316162109375,12335
